ego_distance,ego_angle,ego_speed,ego_orientation,goal_distance,goal_angle,obj_initial_distance,obj_initial_angle,obj_initial_orientation,obj_initial_speed,obj_final_distance,obj_final_angle,relevance
35.092656001541094,1,1.5414474577080655,0,5.461684884205182,1,45.131614268290924,2,3,10.50069,44.270711678022536,0,0.0
27.18283131110703,2,3.8718166757773136,3,11.891289476061866,0,173.88025122248473,1,0,1.82297,154.61792331073036,1,0.0
29.444363778278525,2,4.224219403308528,3,13.632895957064463,1,133.23253525958927,1,0,6.99352,59.68644890145918,1,0.0
20.848205581039856,0,10.606259363081202,1,92.04911463758032,1,112.1486117072543,1,0,12.10645,7.961726388447419,0,0.0
28.96338190226411,0,6.348873988039153,1,34.614554476886305,2,39.37821533607256,0,3,6.49459,53.85211751282019,0,0.0
20.973305985192216,2,10.042009199051407,3,79.59988499967788,0,23.161621702203842,0,1,4.49034,19.952412486506503,1,0.0
44.907900671664684,0,11.250043456437536,1,74.48445798998335,1,161.97869690586754,2,3,12.48035,22.00279403794438,2,0.0
21.908879079535353,2,3.2192634815185803,3,11.18451090829656,1,124.52302602090465,2,3,6.67463,54.48772091219819,2,0.001046263079732636
33.49715328903188,0,9.50365541120235,1,68.39983533286016,1,138.76747662191886,1,0,12.6546,9.722579280211592,1,0.0
33.87022010894677,0,2.4502838382299124,1,4.286356785512212,0,13.21651298947647,0,3,9.6506,62.51835592486817,0,0.0
19.395973858038158,2,10.781914143331914,3,89.14461700894206,1,70.03303967718666,0,0,4.03702,9.269071655834784,0,0.0
38.58824141771946,1,9.055693131397064,0,52.398444151886444,0,175.25180874228943,1,0,4.08429,132.63759692751145,1,0.005464348464021182
19.250962026605333,0,6.073067998994332,1,41.59238956344054,2,41.56669977291077,1,0,7.55652,28.677817229916545,0,0.0
30.77891302294477,0,10.482928852996883,1,80.94250944170085,1,57.479929939356225,0,1,16.15838,92.85135741121937,1,0.0
27.23786085797491,0,10.349715049399624,1,83.13356304656533,1,13.326763132122483,1,2,5.28524,93.15785042101497,1,0.9528241776028494
32.48925455457084,0,11.451066193214336,1,82.08581093513905,2,104.7647007537009,2,1,0.7188,112.23207172592423,2,0.0
16.33442222065108,1,9.834499708980927,0,82.45244227332817,0,17.327487900847025,2,1,8.60246,107.68226951965536,2,0.0
44.464527019695176,0,5.197563649378156,1,14.33720123600351,1,48.75864202152985,1,0,7.23342,17.838640862543304,0,0.0
43.58242900342408,0,11.410953536750737,1,70.58077172372627,2,44.807675622849466,0,3,2.34593,69.13109710627265,0,0.0
31.114791354550327,2,3.303836855179944,3,3.2113472285961238,3,59.698892841878575,0,1,7.44732,18.25787599031442,2,0.0
17.657571377244956,0,9.012269603777693,1,79.29505137655445,1,87.80819184037446,0,1,12.8334,46.9602410200214,2,0.0
36.97447846094925,2,2.410237937481568,3,7.356489429404826,2,98.99967309577592,1,0,3.07939,66.67117769739859,1,0.0
35.87605165305961,0,4.497781228700407,1,9.268589569593457,2,62.55368143061924,0,1,7.58246,63.44211786702113,1,0.0
38.61040946979196,0,9.885299644421865,1,67.11063939175395,1,38.906022773942084,2,3,7.13171,27.15230600508916,1,0.0
30.13893935612363,1,2.54472499348329,0,0.40608993843235025,2,104.15520386709153,2,1,1.14265,115.99690944367528,2,0.0
34.96933623222494,0,2.0710268814769317,1,5.143080210994466,0,94.34859702169237,2,3,10.87861,11.724226247377675,1,0.0
30.03725024940367,2,11.088899946220293,3,80.96992012579948,0,151.7867318903958,2,1,1.01915,162.42698306386563,2,0.0
32.66227440580337,1,7.19986120377063,0,46.21720772114585,2,51.13276460151553,0,1,7.0348,22.569039571131498,2,1.0137854744709736
37.6979172247553,2,2.314695290523925,3,8.052662955660365,2,78.27874399568891,1,2,3.81302,118.46741909059088,1,0.0
19.197044183178345,0,8.054338912381073,1,68.19399641409188,1,55.668004054905715,1,2,6.14138,120.32664599572033,1,1.478000600260832
19.977277562320616,1,13.42211820077727,0,114.65369488331855,0,47.951541910578825,0,3,1.48643,63.58893886054791,0,0.03806818639946497
46.75026565335859,2,8.08523829362041,3,34.24534317806717,0,28.978341782482996,0,3,4.14811,72.47856073726905,0,0.16285768338575957
17.028302675396063,0,13.25102940509536,1,115.58880769573697,2,117.92409104798773,1,0,1.61544,101.13385218221295,1,0.0
34.78293907766998,0,12.376839108594254,1,95.96170338389504,1,143.97718894182438,1,0,14.27893,6.33212589799823,2,0.0
34.6837850415032,0,2.194242854023763,1,4.9889310480228835,0,133.63898388342716,2,3,14.13555,32.299141903898935,2,0.0
42.59544687856908,0,5.1001722584359195,1,15.256985934886451,1,9.02555345800466,0,3,0.00938,9.034433206488378,0,0.0
30.112901625703564,0,10.286018778354359,1,79.64106087174217,1,23.01640374658473,2,3,11.44873,53.52740671888559,0,0.0
35.423270286455775,0,11.955331375519116,1,91.08462682370138,1,16.21617948828269,2,3,10.8614,105.08919302370201,1,0.0
20.863037042475398,2,7.667857219446933,3,56.51701000495595,1,16.940821956932886,1,0,7.63203,42.88718224946116,0,0.9491570140261805
31.34296472104866,1,10.522372272863475,0,80.80479646142814,2,85.97074381082092,0,1,0.7631,64.84974620378786,0,0.0011125371855413722
38.53444092051161,2,5.7751807366070045,3,19.939591449102053,1,91.73507962335565,2,3,12.68779,40.51009018381466,0,0.0
39.25783622597915,2,5.969964843529681,3,20.655802412999464,0,29.754407816550483,2,1,2.30333,51.244046260015416,2,0.0
26.323627467174834,2,13.794811344838706,3,112.38830057346722,1,5.150500281030931,1,0,10.26085,47.525538103518606,0,2.048132712363071
44.429374354924285,2,13.40763103036636,3,90.41532172532575,1,68.5284832689977,0,1,10.22578,27.73669826865664,2,0.0
33.90056629740575,0,2.394955164650976,1,4.36748626724791,0,155.6443551103017,1,0,8.48656,66.80555250523717,1,0.0
22.785114661210287,2,7.225378297984424,3,49.63669267589952,0,37.06474234894935,2,3,5.12964,10.007662766165716,1,0.0
43.67799591359474,0,11.455424775518498,1,77.80511676589097,1,83.75206274773176,2,3,8.11357,2.4745151730389714,3,0.0
16.08845709365878,1,13.791477876857728,0,124.51343175231253,2,74.36649988256809,1,0,10.67527,26.080196351110928,0,0.005013067784586387
32.15941160390221,2,9.309256674498263,3,61.05883127804884,0,18.614907720695257,0,3,8.05445,68.80425355863545,0,0.1261691966973577
31.244143027380378,0,11.805953507528878,1,93.73729713897261,1,46.8056183363066,2,1,7.60254,126.83315167089242,2,0.0
25.792203089592803,1,10.953939383345034,0,90.7226150731812,2,94.2747914783862,1,0,10.79469,11.04420751389613,0,0.0
28.238568017872318,0,6.915072287058997,1,40.99780912168418,2,8.13457924158956,0,1,10.26711,99.97899281883821,2,0.8309744482921548
26.332616146704822,2,2.164523911716209,3,4.059590008983619,1,74.42434092146466,1,0,3.88202,33.43503317904738,1,0.0045154257939810805
24.923235844540766,0,3.3223660047386483,1,15.165883420673117,1,108.85772227511102,2,1,3.53782,145.88858556621796,2,0.0
28.40523645060714,2,5.164353732617948,3,23.959540273802453,1,88.99163292485987,2,3,1.85105,69.75107345633616,2,0.0
39.964919230761616,0,11.536355511501812,1,75.4547139085135,2,84.93982850591823,2,3,0.86855,6.5169312624961915,0,0.0
24.891390962485392,0,13.299540948469355,1,108.18070082864222,2,20.125591201465323,0,3,13.34937,68.80425355863545,0,0.0
35.67032497037278,2,1.6823335263427688,3,6.141121367333549,2,132.9390580649017,2,1,0.0,132.9390580649017,2,0.0
22.38790475429536,0,13.430078344802698,1,118.6847773392572,1,2.831145559133244,0,1,2.97109,28.752911132935733,2,2.597124710981584
39.06299746253095,2,12.19907594998218,3,83.0267028911498,0,87.63266577871345,1,0,15.49433,45.82935734885772,0,0.0
24.065644180137824,0,5.589086793609976,1,38.65862941308985,1,37.69815790898144,2,1,5.71502,97.76942974460371,2,0.0
41.56669977291077,1,12.21694870861816,0,81.09673716357287,0,81.41512442851942,1,0,8.75674,5.169155072852805,1,0.0
25.45937571600099,2,4.399774988815494,3,19.296417479140732,1,69.5372939156831,0,0,9.58676,84.97267945551735,2,0.6798507669083703
30.823263534513995,2,2.3061742746360596,3,1.1262132381424366,2,63.15506021047323,1,0,3.18874,29.629139717550032,1,0.0
